Date,A,B,C
,-8.425534,-5.356828,30.525883
,-8.303125,-5.253527,30.378508
,-8.181593,-5.156755,30.22684
,-8.061161,-5.066464,30.071253
,-7.942038,-4.982591,29.912108
,-7.824422,-4.905054,29.749754
,-7.708502,-4.833761,29.584525
,-7.594454,-4.768605,29.416744
,-7.482442,-4.709472,29.24672
,-7.372621,-4.656236,29.074748
,-7.265134,-4.608767,28.901111
,-7.160112,-4.566928,28.726076
,-7.057676,-4.530578,28.549898
,-6.957939,-4.499574,28.372822
,-6.861,-4.473769,28.195077
,-6.766951,-4.453018,28.016883
,-6.675874,-4.437175,27.838447
,-6.587842,-4.426096,27.659965
,-6.50292,-4.419637,27.481624
,-6.421164,-4.417658,27.303601
,-6.342622,-4.420024,27.126062
,-6.267338,-4.426601,26.949168
,-6.195344,-4.43726,26.773069
,-6.126671,-4.451877,26.597909
,-6.061341,-4.470334,26.423823
,-5.99937,-4.492516,26.250943
,-5.940772,-4.518314,26.079393
,-5.885553,-4.547626,25.909292
,-5.833716,-4.580354,25.740753
,-5.785263,-4.616405,25.573888
,-5.740187,-4.655695,25.408802
,-5.698483,-4.698142,25.245598
,-5.66014,-4.743671,25.084376
,-5.625146,-4.792212,24.925232
,-5.593487,-4.843701,24.768261
,-5.565146,-4.898078,24.613556
,-5.540105,-4.95529,24.461208
,-5.518344,-5.015286,24.311309
,-5.499845,-5.078021,24.163946
,-5.484585,-5.143456,24.019209
,-5.472542,-5.211553,23.877186
,-5.463694,-5.282279,23.737966
,-5.458018,-5.355606,23.601637
,-5.455492,-5.431507,23.468288
,-5.456091,-5.509959,23.338009
,-5.459794,-5.590943,23.210892
,-5.466578,-5.674439,23.087028
,-5.476419,-5.760433,22.966509
,-5.489296,-5.84891,22.849432
,-5.505187,-5.939858,22.735892
,-5.524069,-6.033263,22.625988
,-5.545923,-6.129117,22.51982
,-5.570727,-6.227407,22.417491
,-5.598461,-6.328123,22.319105
,-5.629105,-6.431253,22.22477
,-5.66264,-6.536785,22.134595
,-5.699045,-6.644706,22.048691
,-5.738301,-6.755,21.967175
,-5.78039,-6.86765,21.890164
,-5.825293,-6.982635,21.817778
,-5.87299,-7.099933,21.750139
,-5.923462,-7.219516,21.687374
,-5.976688,-7.341355,21.62961
,-6.03265,-7.465413,21.57698
,-6.091325,-7.59165,21.529616
,-6.152692,-7.72002,21.487655
,-6.216729,-7.850471,21.451235
,-6.28341,-7.982943,21.420496
,-6.35271,-8.117371,21.395582
,-6.424601,-8.25368,21.376635
,-6.499055,-8.391787,21.363802
,-6.576039,-8.531601,21.357228
,-6.655519,-8.67302,21.357062
,-6.737459,-8.815932,21.363449
,-6.821817,-8.960215,21.376537
,-6.90855,-9.105734,21.396471
,-6.99761,-9.252343,21.423395
,-7.088946,-9.399883,21.457452
,-7.182502,-9.548182,21.498779
,-7.278217,-9.697053,21.547512
,-7.376025,-9.846297,21.60378
,-7.475854,-9.995698,21.667708
,-7.577626,-10.145026,21.739411
,-7.681258,-10.294036,21.819
,-7.786659,-10.442466,21.906574
,-7.893731,-10.59004,22.00222
,-8.00237,-10.736463,22.106015
,-8.112464,-10.881428,22.218024
,-8.22389,-11.024607,22.338292
,-8.336521,-11.165662,22.466852
,-8.45022,-11.304234,22.603716
,-8.564838,-11.439955,22.748876
,-8.680221,-11.572438,22.902303
,-8.796205,-11.701286,23.063945
,-8.912615,-11.826088,23.233724
,-9.029267,-11.946424,23.411533
,-9.145968,-12.061863,23.59724
,-9.262516,-12.171967,23.790681
,-9.378699,-12.276293,23.991658
,-9.494295,-12.374392,24.199944
,-9.609074,-12.465817,24.415273
,-9.722799,-12.550119,24.637346
,-9.835222,-12.626857,24.865826
,-9.946088,-12.695592,25.10034
,-10.055138,-12.7559,25.340475
,-10.162103,-12.807368,25.585783
,-10.26671,-12.849599,25.835774
,-10.368682,-12.88222,26.089924
,-10.467739,-12.90488,26.347671
,-10.563598,-12.917255,26.608419
,-10.655975,-12.919054,26.871536
,-10.744586,-12.910021,27.13636
,-10.829151,-12.889938,27.4022
,-10.90939,-12.858629,27.66834
,-10.985031,-12.815964,27.934037
,-11.055806,-12.76186,28.198534
,-11.121458,-12.696283,28.461055
,-11.181736,-12.619256,28.720815
,-11.236405,-12.53085,28.977025
,-11.285241,-12.431198,29.228891
,-11.328033,-12.320484,29.475626
,-11.364591,-12.19895,29.716453
,-11.39474,-12.066896,29.950607
,-11.418326,-11.924673,30.177348
,-11.435215,-11.77269,30.395957
,-11.445296,-11.611404,30.60575
,-11.448481,-11.441321,30.806074
,-11.444706,-11.262992,30.996321
,-11.433933,-11.077012,31.175926
,-11.416147,-10.88401,31.344371
,-11.391362,-10.684649,31.501193
,-11.359616,-10.479619,31.64598
,-11.320974,-10.269634,31.778382
,-11.275526,-10.055423,31.898102
,-11.223389,-9.837727,32.004907
,-11.164702,-9.617294,32.098624
,-11.09963,-9.394869,32.179137
,-11.02836,-9.171196,32.246393
,-10.9511,-8.947006,32.300395
