Date,TA,ST1,H2O,SM1,FN2O
,16.7,17.9,9.79328,12.7,2.04159
,16.11,17.8,9.65883,12.65,2.03344
,15.13,17.7,9.37427,12.6,2.09972
,14.78,17.6,9.3212,12.7,1.8568
,15.03,17.5,9.25677,12.8,1.83638
,15.37,17.4,9.08648,12.75,1.75868
,13.27,17.3,9.09935,12.7,2.02624
,12.57,17.15,9.49597,12.7,1.86214
,11.85,17,9.6727,12.7,1.86903
,11.01,16.85,9.72555,12.7,1.77539
,11.8,16.7,10.1296,12.7,1.65642
,11.74,16.6,10.5359,12.75,1.77695
,13.14,16.5,10.8663,12.8,1.638
,14.64,16.5,11.3212,12.75,1.63967
,17.27,16.5,12.1732,12.7,1.67891
,17.47,16.5,12.4089,12.65,1.80332
,17.87,16.5,12.4981,12.6,1.74741
,18.24,16.6,12.5943,13.3,1.6549
,19.29,16.7,12.9291,14,1.76969
,19.09,16.75,13.2688,14.25,1.66673
,17.19,16.8,14.8545,14.5,1.92199
,16.65,16.85,15.5791,14.2,1.85676
,19.75,16.9,16.2282,13.9,1.90337
,22.76,16.95,16.4274,13.65,2.10638
,20.5,17,14.7739,13.4,2.0731
,20.29,17.05,14.5009,13.15,2.05005
,18.79,17.1,15.5914,12.9,2.07914
,18.94,17.15,16.1811,12.75,1.94204
,19.57,17.2,16.9603,12.6,1.97178
,17.51,17.25,18.0465,13,1.81328
,17.53,17.3,18.3703,13.4,1.96963
,17.19,17.35,18.563,13.95,1.75119
,17.07,17.4,18.6863,14.5,1.41339
,17.35,17.45,18.9059,16.05,1.5037
,17.73,17.5,19.4254,17.6,1.84585
,17.81,17.55,19.6429,18,2.19653
,17.62,17.6,19.4986,18.4,2.52251
,17.49,17.65,19.2839,18.1,2.93482
,17.52,17.7,19.1708,17.8,3.86394
,17.28,17.75,18.886,17.5,4.7334
,17.17,17.8,18.8996,17.2,5.40969
,17.02,17.8,18.7734,16.7,5.82525
,16.89,17.8,18.7003,16.2,6.54491
,16.89,17.8,18.702,16.5,6.35078
,16.82,17.8,18.755,16.8,5.22329
,16.81,17.8,18.7697,17.55,6.15477
,16.89,17.8,18.8662,18.3,6.4348
,17.26,17.8,18.8408,19.45,6.88758
,17.01,17.8,18.6526,20.6,8.48333
,16.57,17.8,18.4684,20.85,8.20839
,16.31,17.8,18.2875,21.1,8.1978
,15.81,17.8,17.6232,20.4,8.09499
,14.83,17.8,15.6848,19.7,9.25592
,15.08,17.75,16.0927,20.65,9.69742
,14.05,17.7,14.6662,21.6,10.2155
,13.99,17.6,14.3552,21.25,10.5013
,14.46,17.5,14.4042,20.9,10.4536
,14.61,17.45,14.5591,20.9,10.5036
,13.8,17.4,14.0656,20.9,11.034
,13.44,17.3,13.5221,20.95,11.0732
